DrugBank_ID,Drug_Name,Drug_Type,drug,UniProt_ID,Target_Name,Gene_Name,gene_id
DB00136,Calcitriol,small molecule,38,P11473,Vitamin D3 receptor,VDR,0
DB00136,Calcitriol,small molecule,38,P31260,Homeobox protein Hox-A10,HOXA10,1
DB00188,Bortezomib,small molecule,41,P28074,Proteasome subunit beta type-5,PSMB5,2
DB00188,Bortezomib,small molecule,41,P20618,Proteasome subunit beta type-1,PSMB1,3
DB00252,Phenytoin,small molecule,51,Q14524,Sodium channel protein type 5 subunit alpha,SCN5A,4
DB00252,Phenytoin,small molecule,51,P35498,Sodium channel protein type 1 subunit alpha,SCN1A,5
DB00252,Phenytoin,small molecule,51,O75469,Nuclear receptor subfamily 1 group I member 2,NR1I2,6
DB00252,Phenytoin,small molecule,51,Q07699,Sodium channel subunit beta-1,SCN1B,7
DB00252,Phenytoin,small molecule,51,Q9NY46,Sodium channel protein type 3 subunit alpha,SCN3A,8
DB00252,Phenytoin,small molecule,51,Q12809,Potassium voltage-gated channel subfamily H member 2,KCNH2,9
DB00252,Phenytoin,small molecule,51,Q99250,Sodium channel protein type 2 subunit alpha,SCN2A,10
DB00252,Phenytoin,small molecule,51,Q9UQD0,Sodium channel protein type 8 subunit alpha,SCN8A,11
DB00262,Carmustine,small molecule,142,P00390,"Glutathione reductase, mitochondrial",GSR,12
DB00290,Bleomycin,small molecule,98,P18858,DNA ligase 1,LIG1,13
DB00290,Bleomycin,small molecule,98,P49916,DNA ligase 3,LIG3,14
DB00293,Raltitrexed,small molecule,170,P04818,Thymidylate synthase,TYMS,15
DB00293,Raltitrexed,small molecule,170,Q05932,"Folylpolyglutamate synthase, mitochondrial",FPGS,16
DB00313,Valproic acid,small molecule,174,P45954,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",ACADSB,17
DB00313,Valproic acid,small molecule,174,Q9UKV0,Histone deacetylase 9,HDAC9,18
DB00313,Valproic acid,small molecule,174,Q02218,"2-oxoglutarate dehydrogenase, mitochondrial",OGDH,19
DB00313,Valproic acid,small molecule,174,P51649,"Succinate-semialdehyde dehydrogenase, mitochondrial",ALDH5A1,20
DB00313,Valproic acid,small molecule,174,Q92769,Histone deacetylase 2,HDAC2,21
DB00313,Valproic acid,small molecule,174,Q07869,Peroxisome proliferator-activated receptor alpha,PPARA,22
DB00313,Valproic acid,small molecule,174,Q03181,Peroxisome proliferator-activated receptor delta,PPARD,23
DB00313,Valproic acid,small molecule,174,P37231,Peroxisome proliferator-activated receptor gamma,PPARG,24
DB00317,Gefitinib,small molecule,6,P00533,Epidermal growth factor receptor,EGFR,25
DB00331,Metformin,small molecule,121,Q9Y478,5'-AMP-activated protein kinase subunit beta-1,PRKAB1,26
DB00331,Metformin,small molecule,121,Q16134,"Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial",ETFDH,27
DB00331,Metformin,small molecule,121,P21695,"Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic",GPD1,28
DB00361,Vinorelbine,small molecule,39,P07437,Tubulin beta chain,TUBB,29
DB00396,Progesterone,small molecule,47,P06401,Progesterone receptor,PGR,30
DB00396,Progesterone,small molecule,47,P03372,Estrogen receptor alpha,ESR1,31
DB00396,Progesterone,small molecule,47,P08235,Mineralocorticoid receptor,NR3C2,32
DB00396,Progesterone,small molecule,47,P05093,"Steroid 17-alpha-hydroxylase/17,20 lyase",CYP17A1,33
DB00396,Progesterone,small molecule,47,P41145,Kappa-type opioid receptor,OPRK1,34
DB00396,Progesterone,small molecule,47,P02763,Alpha-1-acid glycoprotein 1,ORM1,35
DB00396,Progesterone,small molecule,47,P04150,Glucocorticoid receptor,NR3C1,36
DB00396,Progesterone,small molecule,47,P10275,Androgen receptor,AR,37
DB00396,Progesterone,small molecule,47,P04278,Sex hormone-binding globulin,SHBG,38
DB00396,Progesterone,small molecule,47,Q92731,Estrogen receptor beta,ESR2,39
DB00398,Sorafenib,small molecule,13,P15056,Serine/threonine-protein kinase B-raf,BRAF,40
DB00398,Sorafenib,small molecule,13,P04049,RAF proto-oncogene serine/threonine-protein kinase,RAF1,41
DB00398,Sorafenib,small molecule,13,P35916,Vascular endothelial growth factor receptor 3,FLT4,42
DB00398,Sorafenib,small molecule,13,P35968,Vascular endothelial growth factor receptor 2,KDR,43
DB00398,Sorafenib,small molecule,13,P36888,Receptor-type tyrosine-protein kinase FLT3,FLT3,44
DB00398,Sorafenib,small molecule,13,P09619,Platelet-derived growth factor receptor beta,PDGFRB,45
DB00398,Sorafenib,small molecule,13,P10721,Mast/stem cell growth factor receptor Kit,KIT,46
DB00398,Sorafenib,small molecule,13,P11362,Fibroblast growth factor receptor 1,FGFR1,47
DB00398,Sorafenib,small molecule,13,P07949,Proto-oncogene tyrosine-protein kinase receptor Ret,RET,48
DB00398,Sorafenib,small molecule,13,P17948,Vascular endothelial growth factor receptor 1,FLT1,49
DB00441,Gemcitabine,small molecule,5,P23921,Ribonucleoside-diphosphate reductase large subunit,RRM1,50
DB00441,Gemcitabine,small molecule,5,P04818,Thymidylate synthase,TYMS,15
DB00441,Gemcitabine,small molecule,5,P30085,UMP-CMP kinase,CMPK1,51
DB00444,Teniposide,small molecule,116,P11388,DNA topoisomerase 2-alpha,TOP2A,52
DB00445,Epirubicin,small molecule,71,P11388,DNA topoisomerase 2-alpha,TOP2A,52
DB00480,Lenalidomide,small molecule,195,Q96SW2,Protein cereblon,CRBN,53
DB00480,Lenalidomide,small molecule,195,O14788,Tumor necrosis factor ligand superfamily member 11,TNFSF11,54
DB00480,Lenalidomide,small molecule,195,P33151,Cadherin-5,CDH5,55
DB00480,Lenalidomide,small molecule,195,P35354,Prostaglandin G/H synthase 2,PTGS2,56
DB00503,Ritonavir,small molecule,190,Q72874,Human immunodeficiency virus type 1 protease,pol,57
DB00503,Ritonavir,small molecule,190,O75469,Nuclear receptor subfamily 1 group I member 2,NR1I2,6
DB00515,Cisplatin,small molecule,4,P29372,DNA-3-methyladenine glycosylase,MPG,58
DB00515,Cisplatin,small molecule,4,P01023,Alpha-2-macroglobulin,A2M,59
DB00515,Cisplatin,small molecule,4,P02787,Serotransferrin,TF,60
DB00515,Cisplatin,small molecule,4,O00244,Copper transport protein ATOX1,ATOX1,61
DB00530,Erlotinib,small molecule,27,P00533,Epidermal growth factor receptor,EGFR,25
DB00530,Erlotinib,small molecule,27,O75469,Nuclear receptor subfamily 1 group I member 2,NR1I2,6
DB00531,Cyclophosphamide,small molecule,55,O75469,Nuclear receptor subfamily 1 group I member 2,NR1I2,6
DB00541,Vincristine,small molecule,26,P07437,Tubulin beta chain,TUBB,29
DB00541,Vincristine,small molecule,26,P68366,Tubulin alpha-4A chain,TUBA4A,62
DB00544,Fluorouracil,small molecule,2,P04818,Thymidylate synthase,TYMS,15
DB00563,Methotrexate,small molecule,25,P00374,Dihydrofolate reductase,DHFR,63
DB00563,Methotrexate,small molecule,25,P04818,Thymidylate synthase,TYMS,15
DB00563,Methotrexate,small molecule,25,P31939,Bifunctional purine biosynthesis protein PURH,ATIC,64
DB00570,Vinblastine,small molecule,91,Q71U36,Tubulin alpha-1A chain,TUBA1A,65
DB00570,Vinblastine,small molecule,91,P07437,Tubulin beta chain,TUBB,29
DB00570,Vinblastine,small molecule,91,Q9UJT1,Tubulin delta chain,TUBD1,66
