gene1,gene2,gene1_id,gene2_id,score
HDAC1,HDAC2,205,21,5.70827800878308
GRIA1,GRIA2,152,156,5.65060797520936
GABRB2,GABRB3,135,136,5.64923050334385
KCNJ3,KCNJ5,160,164,5.63704787823837
HTR3E,HTR3A,182,146,5.59809943121568
HTR3D,HTR3A,184,146,5.59336646289498
GRIA2,GRIA3,156,158,5.57772294123041
DHFR,TYMS,63,15,5.57435477864427
LCK,ZAP70,230,265,5.57074497873716
HTR3C,HTR3A,185,146,5.56936511495308
CHRNA4,CHRNB2,126,159,5.55571721458301
TOP2A,TOP2B,52,99,5.5506064787949
HTR3D,HTR3E,184,182,5.53311750695817
GRIA1,GRIA3,152,158,5.52458885737649
GART,ATIC,83,64,5.51797171694158
HTR3C,HTR3E,185,182,5.51715885990534
GABRA3,GABRA5,151,149,5.51506155329372
HTR3C,HTR3D,185,184,5.50721225398834
MSN,EZR,426,506,5.50338180805556
ALDH1A1,ALDH1A2,108,110,5.49996346156832
EGFR,ERBB2,25,247,5.49745809886669
CHRNA3,CHRNB2,171,159,5.49712639699611
CHRNA4,CHRNA6,126,173,5.49673294262366
HTR3D,HTR3B,184,183,5.49621550626314
GABRA1,GABRB2,141,135,5.48576130708372
GABRB1,GABRB3,167,136,5.4739598172286
GABRB1,GABRB2,167,135,5.4739598172286
GRIA3,GRIA4,158,157,5.47041309983046
HSP90AA1,HSP90AB1,290,301,5.4660254438348
CHRNA3,CHRNB4,171,170,5.45494534880101
GRIA1,GRIA4,152,157,5.45437735194812
MAPK1,BRAF,202,40,5.45260847079989
DHFR,FPGS,63,16,5.43335803207958
GRIA2,GRIA4,156,157,5.42937968585028
CHRNB4,CHRNA6,170,173,5.41469165285686
CDK4,CCND1,348,200,5.4117176714829
KCNJ6,KCNJ9,161,187,5.40324001725577
IMPDH1,IMPDH2,130,131,5.40291522599392
IKBKB,IKBKG,198,300,5.40188829661675
HSPA2,HSPA8,291,242,5.38930879715703
MAPK14,MAPK11,245,340,5.37812611460725
GABRA1,GABRB3,141,136,5.34342293637618
GABRA1,GABRG3,141,176,5.34289280649052
GART,PPAT,83,246,5.34160447456139
CHRNA4,CHRNB4,126,170,5.33139797186374
TUBA4A,TUBA1A,62,65,5.32736841176712
RARB,RXRG,113,106,5.31336816894827
RXRA,RXRG,118,106,5.30585832859987
AKT1,PDPK1,203,263,5.30577750699061
GABRA6,GABRB3,155,136,5.300670527
MAP2K1,RAF1,342,41,5.29628751493855
RARA,RARG,112,107,5.29390666617481
CHRNB2,CHRNA6,159,173,5.29223301397837
DNMT1,DNMT3B,189,249,5.28626827436368
RAF1,BRAF,41,40,5.28164142743066
FGFR3,FGFR2,308,338,5.28112657131032
CSNK2A1,CSNK2B,287,288,5.27790728211429
HTR3A,HTR3B,146,183,5.27563890128028
ESRRB,ESRRG,253,97,5.27232638306623
KCNJ5,KCNJ9,164,187,5.27036391523595
KCNJ3,KCNJ9,160,187,5.26702703128714
CDK4,CDK6,348,349,5.26621872456663
ABL1,ABL2,80,233,5.26502956703581
CHRNA2,CHRNB4,154,170,5.25967344058355
FLT4,KDR,42,43,5.25460521315788
HIBCH,ACADSB,281,17,5.25416854852787
HPGDS,GSTP1,122,354,5.25374586182296
CYP26A1,CYP26B1,119,120,5.25033509132886
DDX6,PATL1,443,624,5.24812965104018
CHRNA7,CHRNA6,165,173,5.24170043631474
CDK4,CDKN1A,348,204,5.24169743499171
KCNJ3,KCNJ6,160,161,5.23623431503734
CDK2,CDKN1A,261,204,5.23589849770007
GABRA5,GABRG3,149,176,5.23436119713357
CDKN1A,CCND1,204,200,5.22797944121388
CHRNA4,CHRNA7,126,165,5.22796975096308
FLT1,KDR,49,43,5.2273926940829
GABRA2,GABRG3,147,176,5.22622956384807
GABRA4,GABRG3,150,176,5.22387582702228
CHRNA3,CHRNA5,171,172,5.2233195154279
CYP26A1,CYP26C1,119,121,5.21820970596854
FLT1,VEGFA,49,305,5.21557353399791
CHRNA5,CHRNB4,172,170,5.21470979595764
CHRNA7,CHRNB2,165,159,5.21059563341866
GABRA6,GABRG3,155,176,5.21047575798073
RARA,RARB,112,113,5.21035294028175
GABRB2,GABRG3,135,176,5.20643470405718
GABRB1,GABRG3,167,176,5.20643470405718
CHRNA2,CHRNB3,154,174,5.19977090275975
CHRNA5,CHRNB2,172,159,5.19886811829673
CHRNB3,CHRNA6,174,173,5.19796202832615
CHRNA3,CHRNA6,171,173,5.19739999966754
CYP26C1,CYP26B1,121,120,5.19482705787197
ERBB2,ERBB4,247,347,5.19407847173492
GABRA3,GABRG3,151,176,5.19319785281564
CYP11B1,CYP17A1,84,33,5.18996656081958
GABRB3,GABRG3,136,176,5.18911419631605
GABRA5,GABRB1,149,167,5.1883002248468
GABRA5,GABRB2,149,135,5.1883002248468
PSMB5,PSMB8,2,334,5.18630610451842
KCNJ5,KCNJ6,164,161,5.18418941278407
CHRNA3,CHRNA4,171,126,5.18157776401738
PARP2,PARP1,351,350,5.18094124050346
GABRA2,GABRB2,147,135,5.17921097566449
GABRA2,GABRB1,147,167,5.17921097566449
GABRA4,GABRB2,150,135,5.17657816702017
GABRA4,GABRB1,150,167,5.17657816702017
HTR3E,HTR3B,182,183,5.17650738576116
ESRRA,ESRRG,254,97,5.17616714265314
KDR,VEGFA,43,305,5.17397838595556
GABRA5,GABRB3,149,136,5.17175342741864
CHRNB2,CHRNB4,159,170,5.16365269893861
GABRA2,GABRB3,147,136,5.16157474199826
GABRA6,GABRB1,155,167,5.16157465250794
GABRA6,GABRB2,155,135,5.16157465250794
ATIC,PPAT,64,246,5.16051667487101
GABRA4,GABRB3,150,136,5.15862364377469
CDK6,CCND1,349,200,5.15500749304997
KIT,KITLG,46,562,5.15255474124812
CHRNB3,CHRNB4,174,170,5.15242000570914
GABRA1,GABRB1,141,167,5.15169844264297
SIN3A,HDAC2,456,21,5.14959796534259
CYP19A1,HSD17B1,192,271,5.14554822872958
SCN2A,SCN3A,10,8,5.14526627161555
TUBB,TUBB1,29,218,5.14315351152263
GABRA3,GABRB1,151,167,5.14219752483839
GABRA3,GABRB2,151,135,5.14219752483839
LIG1,LIG3,13,14,5.13943792806083
CHRNA4,CHRNB3,126,174,5.13549101872741
RARA,RXRG,112,106,5.13290798013649
EIF4G1,EIF4G2,618,408,5.13222206468262
GABRA3,GABRB3,151,136,5.1199950515899
PSMB8,PSMB9,334,335,5.11553024454907
FGFR1,FGFR2,47,338,5.11528100400276
PPARG,RXRA,24,118,5.1144312733509
RARA,RXRA,112,118,5.10966143051139
RARB,RARG,113,107,5.10864282435946
MAPK1,MAPK3,202,201,5.1071229498953
HTR3C,HTR3B,185,183,5.09169824574057
CSF1,CSF1R,427,77,5.08971161732411
PIK3CA,PIK3R1,302,538,5.08818844367676
CHRNA2,CHRNB2,154,159,5.08263044149916
NCOA2,NCOA1,252,251,5.07887005483442
JAK1,JAK3,331,332,5.07628428700018
PARP2,PARP3,351,352,5.07227263137908
CACNA1H,CACNA1G,91,90,5.06994325883634
RXRA,NCOA1,118,251,5.0668822106233
ICAM1,ITGAL,314,82,5.06292397069726
MAP2K2,RAF1,343,41,5.06067591942336
CCN2,CCN1,518,620,5.05483762031691
SIN3A,HDAC1,456,205,5.05241079373119
CDKN1A,GADD45A,204,482,5.05087183371123
GABRA5,GABRA6,149,155,5.04930288450727
GABRA4,GABRA5,150,149,5.04930288450727
GABRA1,GABRA5,141,149,5.04930288450727
GABRA2,GABRA4,147,150,5.04930288450727
GABRA1,GABRA4,141,150,5.04930288450727
GABRA3,GABRA4,151,150,5.04930288450727
GABRA2,GABRA5,147,149,5.04930288450727
GABRA1,GABRA2,141,147,5.04930288450727
GABRA2,GABRA6,147,155,5.04930288450727
GABRA2,GABRA3,147,151,5.04930288450727
GABRA4,GABRA6,150,155,5.04930288450727
GABRA1,GABRA3,141,151,5.04930288450727
GABRA3,GABRA6,151,155,5.04930288450727
GABRA1,GABRA6,141,155,5.04930288450727
RXRB,RXRG,105,106,5.04685959741026
ESR1,NCOA1,31,251,5.03147882457552
G6PD,PGD,377,139,5.02858214805593
EGFR,ERBB4,25,347,5.02642565224461
RXRA,RXRB,118,105,5.02570320034117
FGFR2,FGFR4,338,341,5.01331666624853
FGFR3,FGFR4,308,341,5.01292695103405
FPGS,ATIC,16,64,5.00353318881119
E2F7,E2F1,429,400,5.00081629192761
CYP1B1,CYP19A1,255,192,4.9964633706486
