miRNAid,miRNAname,miRNA_id,geneID,Gene_Name,gene_id
MIMAT0000062,HSA-LET-7A-5P,0,ENSG00000174021,GNG5,359
MIMAT0000062,HSA-LET-7A-5P,0,ENSG00000072121,ZFYVE26,360
MIMAT0000062,HSA-LET-7A-5P,0,ENSG00000128989,ARPP19,361
MIMAT0000062,HSA-LET-7A-5P,0,ENSG00000103202,NME4,362
MIMAT0000062,HSA-LET-7A-5P,0,ENSG00000087095,NLK,363
MIMAT0000062,HSA-LET-7A-5P,0,ENSG00000138074,SLC5A6,364
MIMAT0000062,HSA-LET-7A-5P,0,ENSG00000082153,BZW1,365
MIMAT0000062,HSA-LET-7A-5P,0,ENSG00000082153,BZW1,365
MIMAT0000062,HSA-LET-7A-5P,0,ENSG00000217128,FNIP1,366
MIMAT0000062,HSA-LET-7A-5P,0,ENSG00000130021,PUDP,367
MIMAT0000063,HSA-LET-7B-5P,1,ENSG00000174021,GNG5,359
MIMAT0000063,HSA-LET-7B-5P,1,ENSG00000072121,ZFYVE26,360
MIMAT0000063,HSA-LET-7B-5P,1,ENSG00000103202,NME4,362
MIMAT0000063,HSA-LET-7B-5P,1,ENSG00000087095,NLK,363
MIMAT0000063,HSA-LET-7B-5P,1,ENSG00000138074,SLC5A6,364
MIMAT0000063,HSA-LET-7B-5P,1,ENSG00000082153,BZW1,365
MIMAT0000063,HSA-LET-7B-5P,1,ENSG00000082153,BZW1,365
MIMAT0000063,HSA-LET-7B-5P,1,ENSG00000217128,FNIP1,366
MIMAT0000063,HSA-LET-7B-5P,1,ENSG00000130021,PUDP,367
MIMAT0000064,HSA-LET-7C-5P,2,ENSG00000174021,GNG5,359
MIMAT0000064,HSA-LET-7C-5P,2,ENSG00000072121,ZFYVE26,360
MIMAT0000064,HSA-LET-7C-5P,2,ENSG00000103202,NME4,362
MIMAT0000064,HSA-LET-7C-5P,2,ENSG00000087095,NLK,363
MIMAT0000064,HSA-LET-7C-5P,2,ENSG00000138074,SLC5A6,364
MIMAT0000064,HSA-LET-7C-5P,2,ENSG00000082153,BZW1,365
MIMAT0000064,HSA-LET-7C-5P,2,ENSG00000082153,BZW1,365
MIMAT0000064,HSA-LET-7C-5P,2,ENSG00000217128,FNIP1,366
MIMAT0000064,HSA-LET-7C-5P,2,ENSG00000130021,PUDP,367
MIMAT0000065,HSA-LET-7D-5P,3,ENSG00000174021,GNG5,359
MIMAT0000065,HSA-LET-7D-5P,3,ENSG00000072121,ZFYVE26,360
MIMAT0000065,HSA-LET-7D-5P,3,ENSG00000103202,NME4,362
MIMAT0000065,HSA-LET-7D-5P,3,ENSG00000087095,NLK,363
MIMAT0000065,HSA-LET-7D-5P,3,ENSG00000138074,SLC5A6,364
